timestamp,rank,name,price,change_24h,market_cap
9/4/2026 15:38,4,BNB,$719.17 ,2.56%,$95.76B
9/4/2026 15:38,5,XRP,$1.45 ,6.61%,$91.11B
9/4/2026 15:38,6,USDC,$1.00 ,-0.01%,$74.18B
9/4/2026 15:38,7,Solana,$104.25 ,4.05%,$61.02B
9/4/2026 15:38,8,TRON,$0.33 ,0.29%,$31.13B
9/4/2026 15:38,9,Hyperliquid,$87.11 ,6.53%,$21.91B
9/4/2026 15:38,10,Zcash,$999.25 ,20.36%,$16.84B
9/4/2026 15:40,1,Bitcoin,"$81,097.47 ",4.49%,$1.62T
9/4/2026 15:40,2,Ethereum,"$2,524.18 ",5.47%,$307.7B
9/4/2026 15:40,3,Tether,$1.00 ,0.04%,$183.34B
9/4/2026 15:40,4,BNB,$718.82 ,2.58%,$95.71B
9/4/2026 15:40,5,XRP,$1.45 ,6.72%,$91.13B
9/4/2026 15:40,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 15:40,7,Solana,$104.08 ,3.95%,$60.92B
9/4/2026 15:40,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:40,9,Hyperliquid,$87.10 ,6.53%,$21.91B
9/4/2026 15:40,10,Zcash,$998.71 ,20.27%,$16.83B
9/4/2026 15:41,1,Bitcoin,"$80,971.06 ",4.29%,$1.62T
9/4/2026 15:41,2,Ethereum,"$2,520.32 ",5.30%,$307.7B
9/4/2026 15:41,3,Tether,$1.00 ,0.04%,$183.34B
9/4/2026 15:41,4,BNB,$718.82 ,2.58%,$95.71B
9/4/2026 15:41,5,XRP,$1.45 ,6.72%,$91.13B
9/4/2026 15:41,6,USDC,$1.00 ,0.01%,$74.19B
9/4/2026 15:41,7,Solana,$104.08 ,3.95%,$60.92B
9/4/2026 15:41,8,TRON,$0.33 ,0.24%,$31.12B
9/4/2026 15:41,9,Hyperliquid,$86.87 ,6.32%,$21.85B
9/4/2026 15:41,10,Zcash,"$1,003.69 ",21.10%,$16.91B
9/4/2026 15:41,1,Bitcoin,"$81,097.47 ",4.49%,$1.62T
